origin	álgu
choose your origin	vállje iežat álgovuođu
origin creator	álgoálgosaš ráhkadeaddji
mob origin creator	mob origin creator
class	luohkká
choose a class	válljet luohká
power	fápmu
powers	fámut
ability	máhttu
abilities	máhtut
apply	ohcat
cancel	heaittihit
done	dahkkon
reset	nuppástuhttit
position	virgi
scale	skála
flight	girdi
unique flight	erenoamáš girdi
support	doarjja
phasing	fásta
undead	jápmán
magic	magiija
unique abilities	erenoamáš návccat
dagger damage	dolkkavahágat
dextrous	hárjánan
stealthy	čiegus
doesn't sleep	ii oađđo
physical damage	fysalaš vahágat
armor	suodjalus
soul mage attributes	sielu mágiija iešvuođat
sand person attributes	sáiva olbmo iešvuođat
grant attributes	addit attributtaid
revoke attributes	heaittihit attributtaid
cooldown	cooldown
cooldown countdown	cooldown lohkan
opacity	opasitehta
loot pool	rievideapmi
loot table	rievideami tabealla
feather footed	feather footed
feather hop	feather hop
arcane spell power	čiegus speallanfápmu
frost spell power	frost spell power
high elf	alla elf
high elves	bajit elliid
overview	oppalašgovva
weakness	váilevašvuohta
resistance	vuostálasvuohta
health	dearvvašvuohta
damage	vahágat
player	spealli
target	ulbmil
key	čoavdda
hotkey	hotkey
unarmed bonus	veahkaválddálaš bonus
unique movement	erenoamáš lihkadus
carnivore	biergoealli
nether bonuses	eará bonusat
mining	ruvkedoaibma
caving	luodda
ranged bonuses	gaskaboddosaš bonusat
speed	leahttu
vegetarian	vegetariána
loved by mobs	mobbat ráhkistit
gold gear bonuses	golli gearggusvuođabonusat
crowd control	olmmošjoavkokontrolla
hydrophobe	hydrofoba
axe bonuses	ákšu bonusat
defense	suodjalus
odd	eahpedábálaš
withering	gahččan
summons	gohččun
illager friendly	illager-guoibmi
complex	kompleaksa
reputation	dovdomearka
water-based	čáhcevuođđuduvvon
utility	ávkkástallan
weak on land	heittot eatnamis
vulnerable to fire	buollinváralaš
frost-based	frost-vuođđuduvvon
tanky	tanky
heat sensitive	lieggaceahki
healing	buorideapmi
feathered wings	njuorjjut
weak to undead	váibbas jápmán
